filename,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,label
blues.00000,-113.5706,121.5718,-19.1681,42.3664,-6.3647,18.6235,-13.7049,15.3432,-12.2741,10.9766,-8.3266,8.8038,-3.6723,blues
blues.00001,-207.5017,123.9913,8.9551,35.8776,2.9073,21.5105,-8.5604,23.3707,-10.0997,11.9005,-5.5556,5.3763,-2.2318,blues
blues.00002,-90.7226,140.4463,-29.0939,31.6843,-13.9845,25.7647,-13.6649,11.6399,-11.7836,9.7188,-13.1338,5.7912,-8.9076,blues
blues.00003,-199.5442,150.0909,5.6627,26.8591,1.7714,14.2340,-4.8320,9.2865,-0.7592,8.1376,-3.2007,6.0793,-2.4802,blues
blues.00004,-160.3377,126.2196,-35.5878,22.1481,-32.4786,10.8523,-23.3523,0.4984,-11.7934,1.2073,-13.0884,-2.8139,-6.9334,blues
blues.00005,-177.7742,118.2055,-17.5659,30.7624,-21.7478,11.9210,-20.7310,3.1866,-8.5860,-0.9329,-11.7724,-2.4058,-9.3437,blues
blues.00006,-190.0524,130.2891,-36.3695,33.0290,11.1088,-0.6056,-20.8719,0.2730,-6.4861,-5.5168,-7.8398,-3.1286,-6.5962,blues
blues.00007,-179.3471,136.4690,-26.6731,39.9842,5.3044,10.9286,-20.5648,8.5112,-11.3572,-3.4683,-8.4199,-6.9497,-3.5391,blues
blues.00008,-121.3639,122.5067,-14.7382,46.1311,-8.1819,20.1830,-19.1734,23.0391,-11.8382,21.1600,-6.7184,6.9925,-12.7306,blues
blues.00009,-213.2400,115.1656,-11.6934,39.0143,-20.3413,13.0776,-9.1735,9.0114,-14.1006,4.2659,-6.0462,3.7822,0.2218,blues
blues.00010,-173.7925,137.1867,-23.7240,26.9784,-16.6577,4.1809,-12.5599,5.8322,-2.8743,-1.1974,-1.9548,1.8015,-2.9896,blues
blues.00011,-287.9237,124.0188,5.4699,33.6574,1.0955,14.7053,-4.8770,8.6705,0.7854,6.5795,-4.8750,-3.1782,-5.5362,blues
blues.00012,-207.2233,132.8306,-15.4288,60.9709,0.7299,12.4376,1.1828,-1.5466,-17.8794,8.3527,-2.4582,-0.6034,0.3860,blues
blues.00013,-209.8262,124.4632,10.3425,47.0109,6.5081,15.4105,-2.0051,6.7066,-21.5576,10.7184,-5.5237,-2.1998,-3.0349,blues
blues.00014,-305.6547,113.0863,12.1144,45.0337,17.7628,14.5733,4.1594,0.2135,-7.0270,13.6420,8.9292,1.3030,5.9613,blues
blues.00015,-238.5155,120.1102,-4.2294,42.2907,5.9286,13.9173,5.3579,1.8956,-16.9367,12.3506,3.9460,-1.3936,0.0193,blues
